ProductID,URL,Title,Selling Price,MRP,Discount,Rating,Category
B0DS186HN4,https://www.amazon.in/dp/B0DS186HN4?th=1&psc=1&language=en_IN,"L.O.T TOYS Flare Remote Control Car | 20Kmph, 2.4Ghz | Rc Car, Remote Cars, Rc Drift Car, 4 Wheel Drive, Boost Mode, Long Range Remote, Hard Plastic Top with LED Head Light (Track White)","1,699","M.R.P.:
₹3,999",-58%,3.8 out of 5,Toys & Games
B082DHLZT9,https://www.amazon.in/dp/B082DHLZT9?th=1&psc=1&language=en_IN,"VGRASSP Apache Style Air Force Helicopter Toy for Kids - Bump and Go Action with Colourful 3D Lights, Swirls and Music Multicolor",599,"M.R.P.:
₹999",-40%,4 out of 5,Toys & Games
B0D7PT7RSK,https://www.amazon.in/dp/B0D7PT7RSK?th=1&psc=1&language=en_IN,"Hot Wheels Batman™ Toy Car 5-Pack, Set of 5 1:64 Scale Die-Cast Batman™-Themed Vehicles Including The Batmobile™",866,"M.R.P.:
₹899",-4%,4.7 out of 5,Toys & Games
B0BQ2T6P98,https://www.amazon.in/dp/B0BQ2T6P98?th=1&psc=1&language=en_IN,"SNAPTRON Magnetic Blocks for Kids Tiles -32 Pieces Set Gifts for Girls, Boys, Magnetic Blocks for Kids 3+ Years, 4 5 6 7 8 9 10/ Constructing & Learning Builder Educational Kids Magnetic Blocks Game",749,"M.R.P.:
₹9,999",-93%,4.1 out of 5,Toys & Games
B0C8FXF89K,https://www.amazon.in/dp/B0C8FXF89K?th=1&psc=1&language=en_IN,"Niku Skin Friendly Ultra Soft 3 Feet Teddy Bear for Kids, Lovable Huggable Cute Soft Giant Teddy Bear for Girlfriends/Wife/Kids/Husband - (Pink, 85 cm)",368,"M.R.P.:
₹999",-63%,3.7 out of 5,Toys & Games
B08D8J88X3,https://www.amazon.in/dp/B08D8J88X3?th=1&psc=1&language=en_IN,Storio Rechargeable Toys Talking Cactus Baby Toys for Kids Dancing Cactus Toys Can Sing Wriggle & Singing Recording Repeat What You Say Funny Education Toys for Children Playing Home Decor for Kids,337,"M.R.P.:
₹499",-32%,3.7 out of 5,Toys & Games
B0D7PT7RSK,https://www.amazon.in/dp/B0D7PT7RSK?th=1&psc=1&language=en_IN,"Hot Wheels Batman™ Toy Car 5-Pack, Set of 5 1:64 Scale Die-Cast Batman™-Themed Vehicles Including The Batmobile™",866,"M.R.P.:
₹899",-4%,4.7 out of 5,Toys & Games
B0BRK4L2C8,https://www.amazon.in/dp/B0BRK4L2C8?th=1&psc=1&language=en_IN,"Magicwand【Pack of 1 RC Plane【Random Color】 EPP Foam Jet Fighter Stunt RC Airplane with Automatic Balance System, for Beginners Aircraft Fighter with LED Lights,Kid","2,999","M.R.P.:
₹5,399",-44%,3 out of 5,Toys & Games
B0BMVS6P13,https://www.amazon.in/dp/B0BMVS6P13?th=1&psc=1&language=en_IN,"Gooyo DB2060 Rechargeable 360° Rotating & Rolling Small Stunt Car Toy with USB Cable & Remote Controller | Blue Color, Power Source: Lithium Battery in Car (Included)",388,"M.R.P.:
₹799",-51%,3.6 out of 5,Toys & Games
B08LTGVND9,https://www.amazon.in/dp/B08LTGVND9?th=1&psc=1&language=en_IN,"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink)",151,"M.R.P.:
₹699",-78%,4.2 out of 5,Toys & Games
B0DDWZFMX7,https://www.amazon.in/dp/B0DDWZFMX7?th=1&psc=1&language=en_IN,"MIP INTERNATIONAL® Spider Web Shooters Toy for Kids – Hero Launcher Wrist Toy Set | Fun & Educational | Sticky Wall Soft Bomb for Cosplay & Interactive Play | Birthday Gift (Pack of 1, Red)",272,"M.R.P.:
₹999",-73%,4 out of 5,Toys & Games
B0F8885Y36,https://www.amazon.in/dp/B0F8885Y36?th=1&psc=1&language=en_IN,"dRoNe wItH hD DuAl cAmErA BrUsHlEsS MoToR, oNe cLiCk tAkEoFf/lAnDiNg FlIp rOlLiNg gEsTuRe cOnTrOl wI-Fi cAmErA ReMoTe cOnTrOl dRoNe wItH FoLlOw mE FuNcTiOn",N/A,N/A,N/A,N/A,Beauty
B0F2MMYP94,https://www.amazon.in/dp/B0F2MMYP94?th=1&psc=1&language=en_IN,"Cockatoo 5ECruise Rechargable Electric Kids Bike with Music&LED, Kids Scooter Bike for 1-5 Years Boys&Girls Powered by 6V Battery & Motor for 4.5-6Hr Ride with Foot Accelerator(Harrlay,Green)","3,499","M.R.P.:
₹8,999",-61%,4.3 out of 5,"Sports, Fitness & Outdoors"
B0D2Z6WHGX,https://www.amazon.in/dp/B0D2Z6WHGX?th=1&psc=1&language=en_IN,YBN Metal Fusion Clash of Speed Top with 4 Blades&1 Launchers in One Pack(Multi Color) (4d Spinning top),219,"M.R.P.:
₹499",-56%,3.6 out of 5,Toys & Games
B0CQK691XQ,https://www.amazon.in/dp/B0CQK691XQ?th=1&psc=1&language=en_IN,"Popsugar Off Roader Rechargeable Remote Control Car | RC Car Monster Truck | 4 Headlight Modes | Lithium Battery | C-Type Charging | Remote Control Car for Kids | Made in India, Red","1,199","M.R.P.:
₹2,799",-57%,4.1 out of 5,Toys & Games
B0F8885Y36,https://www.amazon.in/dp/B0F8885Y36?th=1&psc=1&language=en_IN,"dRoNe wItH hD DuAl cAmErA BrUsHlEsS MoToR, oNe cLiCk tAkEoFf/lAnDiNg FlIp rOlLiNg gEsTuRe cOnTrOl wI-Fi cAmErA ReMoTe cOnTrOl dRoNe wItH FoLlOw mE FuNcTiOn",N/A,N/A,N/A,N/A,Beauty
B0CTX8MJW2,https://www.amazon.in/dp/B0CTX8MJW2?th=1&psc=1&language=en_IN,"MOROVIK Spider Web Shooters Toy for Kids Fans, Hero Launcher Wrist Toy Set, Cosplay Launcher Bracers Accessories, Sticky Wall Soft Bomb Funny Children's Educational Toys, Multicolor (Black and RED)",284,"M.R.P.:
₹599",-53%,3.6 out of 5,Toys & Games
B0F8885Y36,https://www.amazon.in/dp/B0F8885Y36?th=1&psc=1&language=en_IN,"dRoNe wItH hD DuAl cAmErA BrUsHlEsS MoToR, oNe cLiCk tAkEoFf/lAnDiNg FlIp rOlLiNg gEsTuRe cOnTrOl wI-Fi cAmErA ReMoTe cOnTrOl dRoNe wItH FoLlOw mE FuNcTiOn",N/A,N/A,N/A,N/A,Beauty
B0D6Z1YPTZ,https://www.amazon.in/dp/B0D6Z1YPTZ?th=1&psc=1&language=en_IN,Storio Toy Octopus Plushie Reversible Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls| Best Gift | Octopus Soft Toy for Kids -PurplePink,177,"M.R.P.:
₹399",-56%,4.2 out of 5,Toys & Games
B07Q5N5BTT,https://www.amazon.in/dp/B07Q5N5BTT?th=1&psc=1&language=en_IN,"Storio Blaze Storm Hot Fire Soft Bullet Gun Toy With 10 Safe Soft Foam Bullets, Fun Target Shooting Battle Fight Game For Kids Boys (Blaze Storm- Hot Fire),Multicolor",197,"M.R.P.:
₹236",-17%,3.8 out of 5,Toys & Games
