product_title,rating(),rating_count,selling_price,MRP,dicountvalue,discount
"DAIKIN Premium Series 1.5 Ton 3 Star Inverter Split Smart AC with Dew Clean Technology (Copper Condenser, ATKL50UV16V/U/V3 ",4,59,37490,58400,20910,36% Off
"VOLTAS 163V Vectra Pearl 4 in 1 Convertible 1.3 Ton 3 Star Inverter Split AC with Anti Dust Filter ( Copper Condenser, 4503543 ",3.4,45,30990,60636,29646,49% Off
"Godrej 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC With Anti Dust Filter (Copper Condenser, SIC 18TTC3WYQ ",4.2,22,31990,45900,13910,30% Off
"DAIKIN Premium Series 1 Ton 3 Star Inverter Split Smart AC with Dew Clean Technology (Copper Condenser, ATKL35UV16W ",3.9,28,32990,48200,15210,32% Off
"Blue Star Y Series 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Self Diagnosis (Copper Condenser, ID318YKU ",3.9,15,35990,61250,25260,41% Off
"Godrej 5 in 1 Convertible 2 Ton 3 Star Inverter Split AC with Dust Filter (Copper Condenser, SIC 24ITC3WWA ",4.8,5,42290,60990,18700,31% Off
"Daikin Standard Series 0.8 Ton 3 Star Split AC (Copper Condenser, PM 2.5 Filter, FTL28U ",3.9,8,26490,37400,10910,29% Off
"Blue Star Y Series 5 in 1 Convertible 1.2 Ton 3 Star Inverter Split AC with Turbo Cool (Copper Condenser, IC315YNU ",3.3,4,33990,57500,23510,41% Off
"LLOYD 5 in 1 Convertible 1.2 Ton 3 Star Inverter Split AC with Antibacteria Filter (Copper Condenser, GLS15I3FWSEV ",3.4,43,32990,54990,22000,40% Off
"Blue Star M Series 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with 4Way Swing (Copper Condenser, IC318MNU ",4.5,30,36490,63500,27010,43% Off
"Godrej 1.5 Ton 3 Star Fixed Speed Window AC (Copper Condenser, Anti Dust Filter, WFC 18UTC3WWA ",4,8,27790,41990,14200,34% Off
"Blue Star YNUS 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split Smart AC with Turbo Cool (Copper Condenser, IC318YNUS ",5,4,37490,64250,26760,42% Off
"Carrier Ester Neo Plus Exi 6 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Auto Cleanser (Copper Condenser, CAI18ER3R34F0 ",3.2,11,34990,67790,32800,48% Off
"Voltas Vectra 1 Ton 3 Star Fixed Speed Window AC (2023 Model, Copper Condenser, Anti Dust Filter, 123 Vectra Platina ",2.5,4,27990,35990,8000,22% Off
"VOLTAS 183V Vectra Platina 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Anti Microbial Air FIlteration (Copper Condenser, 4503448 ",3.1,45,33990,63990,30000,47% Off
"Croma 1 Ton 3 Star Fixed Speed Window AC (Copper Condenser, Dust Filter, CRLA012WAD193305 ",2,8,27490,33000,5510,17% Off
"DAIKIN Standard Series 1 Ton 3 Star Split AC (Copper Condenser, PM 2.5 Filter, FTL35UV ",4.7,9,32990,46000,13010,28% Off
"Blue Star L Series 1 Ton 3 Star Fixed Speed Window AC (Copper Condenser, Dust Filter, WFD312L ",5,1,26490,33000,6510,20% Off
"Carrier Ester Neo Plus Exi 6 in 1 Convertible 1 Ton 3 Star Inverter Split AC with Auto Cleanser (Copper Condenser, CAI12ER3R34F0 ",3.1,7,30990,56990,26000,46% Off
